fare_id,price,currency_type,payment_method,transfers
182406,3.25,USD,1,0
182407,5.25,USD,1,0
182408,3.25,USD,1,0
182409,5.25,USD,1,0
182410,3.25,USD,1,0
182411,5.25,USD,1,0
182412,3.25,USD,1,0
182413,5.25,USD,1,0
182414,3.25,USD,1,0
182415,5.25,USD,1,0
182416,3.25,USD,1,0
182417,7.25,USD,1,0
182418,9.25,USD,1,0
182419,7.25,USD,1,0
182420,11.25,USD,1,0
182421,9.25,USD,1,0
182422,7.25,USD,1,0
182423,11.25,USD,1,0
182424,9.25,USD,1,0
182425,7.25,USD,1,0
182426,5.25,USD,1,0
182427,13.25,USD,1,0
182428,11.25,USD,1,0
182429,9.25,USD,1,0
182430,7.25,USD,1,0
182431,5.25,USD,1,0
182432,5.25,USD,1,0
182433,7.25,USD,1,0
182434,5.25,USD,1,0
182435,9.25,USD,1,0
182436,7.25,USD,1,0
182437,5.25,USD,1,0
182438,13.25,USD,1,0
182439,11.25,USD,1,0
182440,9.25,USD,1,0
182441,7.25,USD,1,0
